,quadrant,geometry
138,SE,POINT (-113.981644 50.9505254)
139,SW,POINT (-114.1355522 51.0413844)
140,SE,POINT (-114.057837 51.0491958)
141,SE,POINT (-114.0581972 51.046454)
142,NW,POINT (-114.0905363 51.050951)
143,SW,POINT (-114.0738336 51.0448849)
144,NE,POINT (-114.0352515 51.1423169)
145,SW,POINT (-114.0992225 50.9054342)
146,SE,POINT (-114.0637026 50.9045746)
147,SW/SE,POINT (-114.0715855 50.993989)
148,SW,POINT (-114.0741758 51.0417567)
149,NE,POINT (-113.9823261 51.0815499)
150,NE,POINT (-113.9204069 51.0676856)
151,SE,POINT (-114.0179088 51.037649)
152,NE,POINT (-114.0014122 51.0816218)
153,NE,POINT (-114.035269 51.0816137)
154,SW,POINT (-114.0838609 51.0452941)
155,NE,POINT (-113.9704835 51.1401466)
156,SE,POINT (-114.0018449 51.0086234)
157,SE,POINT (-114.0315769 50.9679604)
158,SW/SE,POINT (-114.0713525 50.9651413)
159,SE,POINT (-114.0554787 51.048176)
160,NW,POINT (-114.1398453 51.1088433)
161,SE,POINT (-114.0256459 50.8888807)
162,SE,POINT (-113.9216323 51.0156205)
163,SW/SE,POINT (-114.0694188 50.9318705)
164,NW,POINT (-114.2024515 51.1200649)
165,NE,POINT (-113.969186 51.1751401)
166,NE,POINT (-113.9584279 51.0667121)
167,SW,POINT (-114.094847 50.9795297)
168,SW,POINT (-114.0948634 51.0431872)
169,SE,POINT (-113.9582911 50.9314226)
170,SE,POINT (-113.9587798 50.9798024)
171,NW,POINT (-114.1782042 51.1112551)
172,NW,POINT (-114.1149257 51.1565751)
173,SE,POINT (-113.9814887 50.9447422)
174,SE,POINT (-113.9930839 51.0377477)
175,SE,POINT (-114.0606044 50.9052795)
